3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,1, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,1, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,1, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,1, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:30, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,1, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:31, CPS,1, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:31, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:31, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:31, CPS,2, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:31, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,22, uSv/hr,0.12, SLOW
3/5/2019 14:31, CPS,2, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,2, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:31, CPS,0, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:31, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,1, CPM,25, uSv/hr,0.14, SLOW
3/5/2019 14:31, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,2, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:31, CPS,0, CPM,26, uSv/hr,0.14, SLOW
3/5/2019 14:31, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,24, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,22, uSv/hr,0.12, SLOW
3/5/2019 14:31, CPS,1, CPM,22, uSv/hr,0.12, SLOW
3/5/2019 14:31, CPS,1, CPM,23, uSv/hr,0.13, SLOW
3/5/2019 14:31, CPS,0, CPM,22, uSv/hr,0.12, SLOW
3/5/2019 14:31, CPS,0, CPM,20, uSv/hr,0.11, SLOW
3/5/2019 14:31, CPS,1, CPM,21, uSv/hr,0.11, SLOW
3/5/2019 14:31, CPS,1, CPM,21, uSv/hr,0.11, SLOW
3/5/2019 14:31, CPS,0, CPM,21, uSv/hr,0.11, SLOW
3/5/2019 14:31, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:31, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:31, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:31, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:31, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:31, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:31, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:31, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:31, CPS,0, CPM,19, uSv/hr,0.1, SLOW
3/5/2019 14:31, CPS,0, CPM,18, uSv/hr,0.1, SLOW
